image_id,component,type,rmse_fit,A_true,A_fit,A_err_%,w_true,w_fit,w_err_%,a_true,a_fit,a_err_%,b_true,b_fit,b_err_%,r_true,r_fit,r_err_%
0,0,sine,1.7877229459438166,31.236203565420873,31.16018901089892,0.2433540118367666,0.04852142919229749,0.04854798860732235,0.05473749530255026,,,,,,,,,
1,0,sine,1.440783181784731,23.45163699169337,23.456361690922648,0.020146564740670038,0.03827199617838445,0.03828087361161068,0.023195636791069563,,,,,,,,,
2,0,circle,1.4152684509704605,,,,,,,160.14484627190234,159.42034241771884,0.45240535118650965,90.0604260195075,89.75527167160575,0.3388328940789714,77.23202408397589,77.0601686585705,0.22251834966609324
3,0,circle,1.3946764911856617,,,,,,,174.9451052936576,174.4136392547694,0.30379017349247617,132.75629377709365,132.39792291054934,0.26994642313985745,54.07236509775314,54.04916321130597,0.042908954334123575
4,0,sine,27.135713105021495,34.59580877014376,118.03261654141653,241.1760578445527,0.04539334824210921,0.0035880930601974925,92.09555320515221,,,,,,,,,
5,0,sine,27.047173912830004,17.83721179734124,16.15750237798176,9.416883302410817,0.058979323777458265,0.044205359023281716,25.049396649446017,,,,,,,,,
6,0,circle,11.946620414392338,,,,,,,62.37867684663676,63.973539491272355,2.5567433059805063,181.25396433651514,180.3331048290813,0.5080493057377676,41.394446698956735,38.93647308293804,5.937930838632612
7,0,circle,23.98133783794791,,,,,,,100.93116599640439,115.87532839037819,14.806291244575709,93.60040914680675,91.99607788125319,1.714021637488004,67.05340540236702,62.489601851050566,6.806221882289888
8,0,sine,1.4422555992770347,32.365041138450536,32.385954991273145,0.064618650515982,0.026842493133480087,0.026818947962806764,0.08771603500553796,,,,,,,,,
8,1,circle,1.3944642069105653,,,,,,,116.22224937834791,115.72017803656195,0.43199244935582815,175.67112609484633,175.09054858891216,0.3304911392329289,49.286902011661894,49.30394516170881,0.03457947111969777
9,0,sine,1.443520130042304,36.893285387588804,36.92910192572866,0.09708145469718438,0.02134136546608838,0.021322891527624423,0.0865639946671294,,,,,,,,,
9,1,circle,1.4003319341852811,,,,,,,107.28444787906778,106.57495163886406,0.6613225441617332,171.13642943840048,170.7140751397565,0.2467939175954463,40.51845590708174,40.479022131477095,0.09732299694507955
