loss,dice_coef,iou_metric,val_loss,val_dice_coef,val_iou_metric
0.9365,0.2344,0.3439,0.7957,0.3,0.3893
0.6309,0.4515,0.4743,0.5467,0.5303,0.495
0.4951,0.5711,0.5144,0.454,0.6124,0.5256
0.4321,0.6301,0.5327,0.4359,0.6278,0.5185
0.3954,0.6646,0.5485,0.3884,0.6722,0.5499
0.3765,0.6825,0.5574,0.3871,0.6751,0.5459
0.3681,0.6908,0.5604,0.3742,0.6857,0.5564
0.3531,0.7041,0.5714,0.3573,0.7041,0.5667
0.3466,0.7098,0.5758,0.3582,0.7028,0.5642
0.3431,0.7129,0.5777,0.352,0.7101,0.5715
0.3312,0.7237,0.5888,0.3542,0.7086,0.5688
0.3262,0.7277,0.5931,0.3351,0.7253,0.5862
0.3205,0.7326,0.5982,0.3411,0.7204,0.5805
0.3175,0.735,0.6008,0.3386,0.7215,0.5823
0.3092,0.7421,0.6091,0.3402,0.7214,0.5809
0.3074,0.7438,0.6109,0.3412,0.7171,0.5781
0.2918,0.7565,0.6267,0.3337,0.7253,0.586
0.2858,0.7614,0.6329,0.3335,0.727,0.5869
0.2807,0.7657,0.6383,0.3352,0.7251,0.5846
0.2744,0.7712,0.6448,0.3366,0.7248,0.5833
0.2744,0.7713,0.6448,0.3375,0.7252,0.5836
0.2661,0.778,0.6537,0.3325,0.7307,0.5891
0.2601,0.7831,0.6602,0.3322,0.7293,0.5881
0.2559,0.7865,0.6649,0.3345,0.7297,0.5872
0.2503,0.7913,0.6706,0.332,0.7315,0.5896
0.2447,0.7958,0.6768,0.3357,0.7289,0.5862
0.2394,0.8002,0.6828,0.3434,0.7238,0.5794
0.236,0.803,0.6866,0.3385,0.7279,0.5838
0.2294,0.8086,0.6941,0.3409,0.7281,0.5835
0.2183,0.8176,0.7066,0.3357,0.7309,0.587
0.2118,0.8231,0.7143,0.3395,0.7301,0.5853
0.2078,0.8265,0.719,0.3357,0.732,0.5878
0.2058,0.8279,0.7212,0.3361,0.7323,0.5881
